type,term,name,rating,business_status,lng,lat
Park,park,Cass Park Park and Walk,4.7,OPERATIONAL,-76.51456189999999,42.4430227
Park,garden,Restroom,0,OPERATIONAL,-76.51423129999999,42.4480377
Place of Worship,place of worship,Catalyst Vineyard Church,5,OPERATIONAL,-76.5047876,42.4390855
Park,garden,Garden Café,4.6,OPERATIONAL,-76.5373714,42.469135
Social Business,cafe,Garden Café,4.6,OPERATIONAL,-76.5373714,42.469135
Social Business,cafe,Panera Bread,4,OPERATIONAL,-76.50832799999999,42.429054
Park,park,Ithaca Children's Garden,4.7,OPERATIONAL,-76.51428349999999,42.4470328
Park,garden,Ithaca Children's Garden,4.7,OPERATIONAL,-76.51428349999999,42.4470328
Park,park,Upper Buttermilk Falls State Park,4.8,OPERATIONAL,-76.5123175,42.4093101
Place of Worship,place of worship,Bethlehem Church of Christ,4.5,OPERATIONAL,-76.5096593,42.4368849
Place of Worship,place of worship,Hillside Alliance Church,5,OPERATIONAL,-76.46902879999999,42.4281873
Community Space,city hall,Cayuga Heights Engineers,0,OPERATIONAL,-76.4789739,42.469654
Community Space,city hall,Cayuga Heights Village Office,0,OPERATIONAL,-76.4789739,42.469654
Social Business,cafe,Cup O’ Jo Café,4.8,OPERATIONAL,-76.4905665,42.48374620000001
Park,garden,Cornell Botanic Gardens,4.7,OPERATIONAL,-76.4728445,42.4496189
Community Space,community center,TC3 Ithaca Extension Center,3.2,OPERATIONAL,-76.4969998,42.4403044
Place of Worship,place of worship,The Church of Jesus Christ of Latter-day Saints,4.7,OPERATIONAL,-76.47536459999999,42.47555819999999
Park,park,Lucifer Falls Lower Trailhead,0,OPERATIONAL,-76.5565652,42.39794759999999
Place of Worship,place of worship,First Ithaca Chinese Christian,4.6,OPERATIONAL,-76.4789842,42.4376886
Social Business,bookstore,Daniels Books LLC,0,OPERATIONAL,-76.49153129999999,42.4702334
Social Business,cafe,Cafe-On-The-Go,5,OPERATIONAL,-76.5019537,42.4233773
Community Space,community center,Tompkins Center for History & Culture,0,OPERATIONAL,-76.49724359999999,42.4400314
Place of Worship,place of worship,Bethel Grove Bible Church,4.8,OPERATIONAL,-76.4372084,42.408191
Park,garden,Mundy Wildflower Garden,4.9,OPERATIONAL,-76.46897020000002,42.4502203
Park,park,Tutelo Park,4.5,OPERATIONAL,-76.5310821,42.42265700000001
Social Business,bookstore,Book Sale Gallery,5,OPERATIONAL,-76.4992539,42.4393856
Park,garden,Der Rosenmeister Nursery,5,OPERATIONAL,-76.540605,42.422281
Place of Worship,place of worship,First Congregational Church,0,OPERATIONAL,-76.5017989,42.4439634
Community Space,community center,Center For Community Transportation,0,OPERATIONAL,-76.495424,42.442334
Park,park,Enfield Falls,4.8,OPERATIONAL,-76.5918154,42.4027592
Park,park,Cayuga Waterfront Trailhead,0,OPERATIONAL,-76.49916929999999,42.4640952
Social Business,bookstore,The Cornell Store,4.5,OPERATIONAL,-76.4842171,42.4467383
Park,park,Markels Flats,0,OPERATIONAL,-76.503428,42.442981
Park,garden,Lowe's Garden Center,4.5,OPERATIONAL,-76.51400919999999,42.4308753
Social Business,cafe,Cafe Dewitt,4.5,OPERATIONAL,-76.49861899999999,42.44084
Social Business,cafe,One Ring Donuts,4.6,OPERATIONAL,-76.49970909999999,42.4390252
Park,park,Tareyton Park,4.2,OPERATIONAL,-76.45956760000001,42.4752442
Social Business,cafe,Goldie's,4.4,OPERATIONAL,-76.4817425,42.4498152
Community Space,library,Tompkins Supreme Court Library,0,CLOSED_TEMPORARILY,-76.4972708,42.44227619999999
Park,garden,Floral Avenue Community Garden,4,OPERATIONAL,-76.51926720000002,42.43468070000001
Social Business,cafe,Coal Yard Cafe,4.6,OPERATIONAL,-76.4753484,42.441089
Community Space,library,Cornell University - Law School Library,5,OPERATIONAL,-76.4857724,42.4438549
Social Business,cafe,Hope's Events & Catering,4.3,OPERATIONAL,-76.47916649999999,42.4686823
Community Space,library,Sidney Cox Library of Music and Dance,0,OPERATIONAL,-76.48346289999999,42.4501699
Park,park,Small Pavillion and Pond,5,OPERATIONAL,-76.4633501,42.4856523
Park,park,Robert H. Treman State Park,4.8,OPERATIONAL,-76.556324,42.3981723
Place of Worship,place of worship,"Oasis Christian Fellowship of Ithaca, NY",0,OPERATIONAL,-76.5082395,42.4273794
Community Space,community center,Community Center,4,CLOSED_TEMPORARILY,-76.49137080000001,42.4835813
Park,garden,Ithaca Agway & True Value,4.6,OPERATIONAL,-76.508995,42.4377899
Community Space,community center,Island Health & Fitness @ Community Corners,4.3,OPERATIONAL,-76.4801712,42.4682998
Social Business,cafe,The Heights,4.5,OPERATIONAL,-76.4796717,42.4689404
Community Space,community center,Noyes Fitness Center,3.8,OPERATIONAL,-76.487996,42.446447
Social Business,cafe,Green Dragon Cafe,4.6,OPERATIONAL,-76.48404029999999,42.4509025
Place of Worship,place of worship,Quaker Meeting,5,OPERATIONAL,-76.49125529999999,42.4521266
Park,garden,Esty Street Garden,4,OPERATIONAL,-76.50831099999999,42.4429004
Social Business,cafe,Ithaca Bakery,4.4,OPERATIONAL,-76.508888,42.4427064
Place of Worship,place of worship,Church on the Rock,5,OPERATIONAL,-76.4925002,42.4315821
Park,park,Lucifer Falls Upper Trailhead,5,OPERATIONAL,-76.5898905,42.4022899
Social Business,cafe,Dunkin',4,OPERATIONAL,-76.4655628,42.4371604
Community Space,community center,St. John's Community Service,3.7,OPERATIONAL,-76.50939509999999,42.4394852
Community Space,library,Alternatives Library,0,OPERATIONAL,-76.4858157,42.4449505
Community Space,library,Ithaca College Library,4.9,OPERATIONAL,-76.4950752,42.4212157
Community Space,library,Engineering Library,5,OPERATIONAL,-76.4841488,42.4447409
Park,park,East Shore Park,4.5,OPERATIONAL,-76.5036037,42.4713693
Community Space,library,Tompkins County Public Library,4.7,OPERATIONAL,-76.49875999999999,42.4385288
Social Business,cafe,Collegetown Bagels,4.3,OPERATIONAL,-76.4635789,42.4377584
Park,park,McDaniels Park,5,OPERATIONAL,-76.523882,42.439495
Park,park,Ithaca Dog Park,4.7,OPERATIONAL,-76.5157378,42.4563715
Social Business,cafe,Forty Weight Coffee Roasters,5,OPERATIONAL,-76.5093496,42.45108949999999
Park,garden,Ithaca Community Gardens,5,OPERATIONAL,-76.508235,42.4481399
Park,park,"Monkey Run, Cayuga Trail",4.3,OPERATIONAL,-76.45103499999999,42.455962
Social Business,cafe,Starbucks,2.7,OPERATIONAL,-76.508934,42.430916
Park,park,Gorge Trail,4.8,CLOSED_TEMPORARILY,-76.5213441,42.416308
Park,park,Wood Street Park Playground,0,OPERATIONAL,-76.5062525,42.4324823
Park,park,Northview Park,4,OPERATIONAL,-76.4839069,42.4191534
Social Business,cafe,Crossings Cafe,4,OPERATIONAL,-76.4795265,42.4555329
Community Space,library,Carl A. Kroch Library,0,CLOSED_TEMPORARILY,-76.4841596,42.4477741
Park,square,105 Wiedmaier Court,0,OPERATIONAL,-76.4485133,42.4133548
Community Space,library,Uris Library,4.6,OPERATIONAL,-76.4853009,42.4477499
Social Business,cafe,Gimme! Coffee,4.6,OPERATIONAL,-76.4994888,42.44449609999999
Social Business,cafe,Nothing Nowhere,4.8,OPERATIONAL,-76.49798899999999,42.4398
Community Space,library,"Friends of the Library Book Sale - Donations until April 16, 2022",4.8,OPERATIONAL,-76.509345,42.443015
Social Business,bookstore,"Friends of the Library Book Sale - Donations until April 16, 2022",4.8,OPERATIONAL,-76.509345,42.443015
Community Space,library,The Essential Electronic Agricultural Library,0,CLOSED_TEMPORARILY,-76.4801464,42.4475983
Social Business,cafe,Dunkin',3.7,OPERATIONAL,-76.5206317,42.4196439
Place of Worship,place of worship,Ithaca First Assembly of God Church,4.9,OPERATIONAL,-76.53343780000002,42.4219377
Social Business,bookstore,Alphabet Soup,4.5,OPERATIONAL,-76.4968975,42.4393732
Place of Worship,place of worship,Christ Chapel,3.7,OPERATIONAL,-76.4843897,42.4857208
Park,square,Fairview Apartments,4,OPERATIONAL,-76.4762356,42.4406469
Park,garden,Bioswale Garden,5,CLOSED_TEMPORARILY,-76.4728445,42.4496188
Park,square,South Meadow Square,4,CLOSED_TEMPORARILY,-76.50670869999999,42.429336
Social Business,cafe,The Bistro – Eat. Drink. Connect.®,4.5,OPERATIONAL,-76.4652584,42.4833424
Park,park,Sunset Park,4.7,OPERATIONAL,-76.4932147,42.4587229
Community Space,library,Population & Dev Research Library,0,CLOSED_TEMPORARILY,-76.47709259999999,42.4492432
Social Business,bookstore,Ithaca College Campus Store,4.4,OPERATIONAL,-76.4949354,42.4222893
Community Space,library,Mathematics Library,5,OPERATIONAL,-76.4802083,42.4482224
Community Space,community center,Greater Ithaca Activities Center,4.5,OPERATIONAL,-76.502258,42.442177
Community Space,library,Physical Sciences Library,0,CLOSED_TEMPORARILY,-76.4812084,42.4497231
Park,garden,Garden Gate Delivery,4,OPERATIONAL,-76.49875999999999,42.4385288
Place of Worship,place of worship,Schaff a J,0,OPERATIONAL,-76.4897496,42.4757831
Community Space,city hall,Ithaca Building Department,3,OPERATIONAL,-76.49850959999999,42.4389135
Place of Worship,place of worship,Seventh-Day Adventist Church,4.7,OPERATIONAL,-76.5307165,42.4623867
Place of Worship,place of worship,Church of Christ at Northeast Ithaca,0,OPERATIONAL,-76.4772704,42.4771572
Social Business,cafe,Gimme! Coffee,4.8,OPERATIONAL,-76.479202,42.4687701
Park,garden,Ling Ling Garden,3.9,OPERATIONAL,-76.4634531,42.4377637
Social Business,cafe,Starbucks,4.2,OPERATIONAL,-76.497126,42.44059600000001
Place of Worship,place of worship,St. James AME Zion Church,4.7,OPERATIONAL,-76.5046338,42.4377339
Park,park,Stewart Park,4.8,OPERATIONAL,-76.5075588,42.4609358
Community Space,city hall,Ithaca City Water & Sewer Repairs,1,OPERATIONAL,-76.5041475,42.4484594
Park,park,Friends of Stewart Park,0,OPERATIONAL,-76.5138218,42.4390335
Social Business,cafe,McDonald's,3.1,OPERATIONAL,-76.5177047,42.42197549999999
Place of Worship,place of worship,First Presbyterian Church,4.4,OPERATIONAL,-76.4988968,42.4424048
Social Business,cafe,Ithaca Bakery,4.3,OPERATIONAL,-76.4819847,42.4796273
Park,garden,Walmart Garden Center,0,OPERATIONAL,-76.5137766,42.427751
Social Business,cafe,Carol's Cafe,4.7,OPERATIONAL,-76.4791678,42.4533011
Community Space,library,Fine Arts Library,4.1,OPERATIONAL,-76.4828622,42.4512236
Park,park,Lansing Village Community Park,4.5,OPERATIONAL,-76.47260299999999,42.480677
Social Business,bookstore,Autumn Leaves Used Books,4.6,OPERATIONAL,-76.49819230000001,42.4392021
Social Business,cafe,Ithaca Coffee Company,4.6,OPERATIONAL,-76.4819335,42.4794938
Park,garden,Walmart Patio & Garden Services,0,OPERATIONAL,-76.513975,42.427633
Social Business,cafe,Press Cafè,4.6,OPERATIONAL,-76.5000652,42.4387028
Community Space,library,Adelson Library,5,OPERATIONAL,-76.4511752,42.479567
Place of Worship,place of worship,St. Paul's United Methodist Church,4.7,OPERATIONAL,-76.4960923,42.4428134
Community Space,library,"Carl A. Kroch Library, Division of Rare & Manuscript Collection",0,CLOSED_TEMPORARILY,-76.48308999999999,42.447022
Park,garden,Dean's Garden,0,OPERATIONAL,-76.4772318,42.4494693
Park,park,Salem Park,5,OPERATIONAL,-76.4553377,42.472062
Park,garden,Jade Garden,4.5,OPERATIONAL,-76.5086498,42.4389625
Social Business,cafe,Mac's Cafe,4.2,OPERATIONAL,-76.4820581,42.4459683
Community Space,library,John Henrik Clarke Africana Library,0,OPERATIONAL,-76.4822137,42.4573916
Park,park,Dewitt Park,4.2,OPERATIONAL,-76.498649,42.4418102
Community Space,community center,Coddington Road Community Center,4.9,OPERATIONAL,-76.4571304,42.3998413
Place of Worship,place of worship,Calvary Chapel Ithaca,5,OPERATIONAL,-76.4627028,42.423695
Park,park,South Hill Rec Way Parking,4.7,OPERATIONAL,-76.4819241,42.4236963
Place of Worship,place of worship,Ithaca Church of Christ,2.7,OPERATIONAL,-76.50008849999999,42.4532377
Place of Worship,place of worship,First Congregational Church,5,OPERATIONAL,-76.4856501,42.4578286
