type,name_label,xbar,lower,upper,s,n,xbbar,diff,statistic,se,df,p_value,stars
Community Spaces,Fort Worth,0.072,  0.071, 0.072, 0.46,1177,0.29,-0.219,-1232.9,0.00018,1176,<0.001,***
Community Spaces,Austin,0.146,  0.141, 0.150, 1.22,966,0.29,-0.145,  -94.8,0.00153,965,<0.001,***
Community Spaces,Indianapolis,0.100,  0.100, 0.101, 0.39,1093,0.29,-0.190,-1351.5,0.00014,1092,<0.001,***
Community Spaces,Jacksonville,0.167,  0.149, 0.184, 3.33,1876,0.29,-0.124,  -21.0,0.00591,1875,<0.001,***
Community Spaces,Charlotte,0.166,  0.158, 0.174, 1.60,943,0.29,-0.125,  -45.9,0.00272,942,<0.001,***
Community Spaces,San Francisco,0.196,  0.193, 0.199, 0.39,152,0.29,-0.095,  -95.4,0.00099,151,<0.001,***
Community Spaces,Oklahoma City,0.650,  0.530, 0.770, 8.43,1781,0.29, 0.359,    9.0,0.03991,1780,<0.001,***
Community Spaces,Seattle,0.240,  0.239, 0.242, 0.37,279,0.29,-0.051, -100.4,0.00050,278,<0.001,***
Community Spaces,Denver,0.164,  0.163, 0.166, 0.46,382,0.29,-0.127, -229.1,0.00055,381,<0.001,***
Community Spaces,Nashville,0.200,  0.195, 0.206, 1.62,1437,0.29,-0.090,  -49.6,0.00182,1436,<0.001,***
Community Spaces,Boston,0.249,  0.189, 0.310, 1.96,190,0.29,-0.042,   -2.1,0.02018,189,0.041,*
Community Spaces,El Paso,0.186,  0.180, 0.192, 1.24,755,0.29,-0.104,  -51.6,0.00203,754,<0.001,***
Community Spaces,DC,0.497,  0.443, 0.551, 1.87,195,0.29, 0.206,   11.5,0.01790,194,<0.001,***
Community Spaces,Portland,0.143,  0.141, 0.145, 0.54,429,0.29,-0.148, -217.5,0.00068,428,<0.001,***
