modelid,name,term,var,order,beta
total_social_capital,el_paso,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,el_paso,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,el_paso,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,el_paso,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,el_paso,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,el_paso,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,fort_worth,(Intercept),intercept,1,-0.187852859300621
total_social_capital,fort_worth,scale(log(total + 1)),total,2,0.023457228791729987
total_social_capital,fort_worth,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,fort_worth,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,fort_worth,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,fort_worth,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,fort_worth,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,fort_worth,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,fort_worth,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,fort_worth,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,fort_worth,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,houston,(Intercept),intercept,1,-0.07298148346651434
total_social_capital,houston,scale(log(total + 1)),total,2,0.009347195553549924
total_social_capital,houston,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,houston,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,houston,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,houston,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,houston,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,houston,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,houston,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,houston,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,houston,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,indianapolis,(Intercept),intercept,1,0.0261800721964403
total_social_capital,indianapolis,scale(log(total + 1)),total,2,0.03892073874902872
total_social_capital,indianapolis,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,indianapolis,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,indianapolis,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,indianapolis,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,indianapolis,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,indianapolis,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,indianapolis,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,indianapolis,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,indianapolis,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,jacksonville,(Intercept),intercept,1,0.029673916790388277
total_social_capital,jacksonville,scale(log(total + 1)),total,2,0.022981848306400637
total_social_capital,jacksonville,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,jacksonville,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,jacksonville,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,jacksonville,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,jacksonville,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,jacksonville,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,jacksonville,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,jacksonville,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,jacksonville,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,la,(Intercept),intercept,1,-0.20105291577573786
total_social_capital,la,scale(log(total + 1)),total,2,0.030190082702795443
total_social_capital,la,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,la,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,la,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,la,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,la,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,la,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,la,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,la,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,la,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,nashville,(Intercept),intercept,1,0.0737734534850861
total_social_capital,nashville,scale(log(total + 1)),total,2,0.03270857316234152
total_social_capital,nashville,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,nashville,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,nashville,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,nashville,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,nashville,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,nashville,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,nashville,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,nashville,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,nashville,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,nyc,(Intercept),intercept,1,-0.1877340954449848
total_social_capital,nyc,scale(log(total + 1)),total,2,0.11624189104238117
total_social_capital,nyc,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,nyc,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,nyc,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,nyc,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,nyc,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,nyc,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,nyc,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,nyc,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,nyc,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,oklahoma,(Intercept),intercept,1,0.11319481366149489
total_social_capital,oklahoma,scale(log(total + 1)),total,2,0.018156705205188618
total_social_capital,oklahoma,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,oklahoma,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,oklahoma,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,oklahoma,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,oklahoma,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,oklahoma,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,oklahoma,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,oklahoma,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,oklahoma,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,philadelphia,(Intercept),intercept,1,-0.028818833449379383
total_social_capital,philadelphia,scale(log(total + 1)),total,2,0.041426735175076626
total_social_capital,philadelphia,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,philadelphia,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,philadelphia,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,philadelphia,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,philadelphia,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,philadelphia,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,philadelphia,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,philadelphia,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,philadelphia,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,phoenix,(Intercept),intercept,1,-0.1661469231696309
total_social_capital,phoenix,scale(log(total + 1)),total,2,0.03969018544182419
total_social_capital,phoenix,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,phoenix,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,phoenix,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,phoenix,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,phoenix,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,phoenix,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,phoenix,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,phoenix,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,phoenix,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,portland,(Intercept),intercept,1,-0.004726385705604031
total_social_capital,portland,scale(log(total + 1)),total,2,0.01438659383711371
total_social_capital,portland,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,portland,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,portland,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,portland,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,portland,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,portland,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,portland,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,portland,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,portland,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,san_antonio,(Intercept),intercept,1,0.08762924227378613
total_social_capital,san_antonio,scale(log(total + 1)),total,2,0.017553991781709195
total_social_capital,san_antonio,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,san_antonio,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,san_antonio,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,san_antonio,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,san_antonio,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,san_antonio,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,san_antonio,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,san_antonio,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,san_antonio,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,san_diego,(Intercept),intercept,1,-0.012013824499018154
total_social_capital,san_diego,scale(log(total + 1)),total,2,0.019050266878094455
total_social_capital,san_diego,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,san_diego,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,san_diego,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,san_diego,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,san_diego,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,san_diego,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,san_diego,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,san_diego,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,san_diego,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,san_francisco,(Intercept),intercept,1,0.042864727613844106
total_social_capital,san_francisco,scale(log(total + 1)),total,2,0.011465481785411336
total_social_capital,san_francisco,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,san_francisco,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,san_francisco,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,san_francisco,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,san_francisco,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,san_francisco,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,san_francisco,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,san_francisco,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,san_francisco,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,san_jose,(Intercept),intercept,1,-0.14786558655039053
total_social_capital,san_jose,scale(log(total + 1)),total,2,0.029064084034273425
total_social_capital,san_jose,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,san_jose,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,san_jose,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,san_jose,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,san_jose,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,san_jose,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,san_jose,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,san_jose,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,san_jose,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,seattle,(Intercept),intercept,1,0.1620540964138503
total_social_capital,seattle,scale(log(total + 1)),total,2,0.0366584103830364
total_social_capital,seattle,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,seattle,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,seattle,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,seattle,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,seattle,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,seattle,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,seattle,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,seattle,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,seattle,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_bonding,austin,(Intercept),intercept,1,-0.07454955072487225
total_bonding,austin,scale(log(total + 1)),total,2,-0.014222733252581523
total_bonding,austin,scale(log(pop_density)),pop_density,3,-0.0392349266089518
total_bonding,austin,"scale(logit(black, 0.01))",black,4,-0.054070176182985395
total_bonding,austin,"scale(logit(hisplat, 0.01))",hisplat,5,-0.24451520526427192
total_bonding,austin,"scale(logit(asian, 0.01))",asian,6,-0.15796133826366177
total_bonding,austin,scale(log(median_household_income)),median_household_income,7,0.10124430774646918
total_bonding,austin,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.014432391262393098
total_bonding,austin,"scale(logit(some_college, 0.01))",some_college,9,-0.1365819933198931
total_bonding,austin,"scale(logit(over_65, 0.01))",over_65,10,-0.10628360934683707
total_bonding,austin,scale(log(unemployment + 1)),unemployment,11,0.07123045960624846
total_bonding,boston,(Intercept),intercept,1,-0.2140232882359029
total_bonding,boston,scale(log(total + 1)),total,2,-0.002715764522914041
total_bonding,boston,scale(log(pop_density)),pop_density,3,-0.0392349266089518
total_bonding,boston,"scale(logit(black, 0.01))",black,4,-0.054070176182985395
total_bonding,boston,"scale(logit(hisplat, 0.01))",hisplat,5,-0.24451520526427192
total_bonding,boston,"scale(logit(asian, 0.01))",asian,6,-0.15796133826366177
total_bonding,boston,scale(log(median_household_income)),median_household_income,7,0.10124430774646918
total_bonding,boston,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.014432391262393098
total_bonding,boston,"scale(logit(some_college, 0.01))",some_college,9,-0.1365819933198931
total_bonding,boston,"scale(logit(over_65, 0.01))",over_65,10,-0.10628360934683707
total_bonding,boston,scale(log(unemployment + 1)),unemployment,11,0.07123045960624846
total_bonding,charlotte,(Intercept),intercept,1,-0.09598109808390584
total_bonding,charlotte,scale(log(total + 1)),total,2,-0.008503551269777764
total_bonding,charlotte,scale(log(pop_density)),pop_density,3,-0.0392349266089518
total_bonding,charlotte,"scale(logit(black, 0.01))",black,4,-0.054070176182985395
total_bonding,charlotte,"scale(logit(hisplat, 0.01))",hisplat,5,-0.24451520526427192
total_bonding,charlotte,"scale(logit(asian, 0.01))",asian,6,-0.15796133826366177
total_bonding,charlotte,scale(log(median_household_income)),median_household_income,7,0.10124430774646918
total_bonding,charlotte,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.014432391262393098
total_bonding,charlotte,"scale(logit(some_college, 0.01))",some_college,9,-0.1365819933198931
total_bonding,charlotte,"scale(logit(over_65, 0.01))",over_65,10,-0.10628360934683707
total_bonding,charlotte,scale(log(unemployment + 1)),unemployment,11,0.07123045960624846
total_bonding,chicago,(Intercept),intercept,1,-0.0504416240559694
total_bonding,chicago,scale(log(total + 1)),total,2,-0.016041791523569136
total_bonding,chicago,scale(log(pop_density)),pop_density,3,-0.0392349266089518
total_bonding,chicago,"scale(logit(black, 0.01))",black,4,-0.054070176182985395
total_bonding,chicago,"scale(logit(hisplat, 0.01))",hisplat,5,-0.24451520526427192
total_bonding,chicago,"scale(logit(asian, 0.01))",asian,6,-0.15796133826366177
total_bonding,chicago,scale(log(median_household_income)),median_household_income,7,0.10124430774646918
total_bonding,chicago,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.014432391262393098
total_bonding,chicago,"scale(logit(some_college, 0.01))",some_college,9,-0.1365819933198931
total_bonding,chicago,"scale(logit(over_65, 0.01))",over_65,10,-0.10628360934683707
total_bonding,chicago,scale(log(unemployment + 1)),unemployment,11,0.07123045960624846
total_bonding,columbus,(Intercept),intercept,1,-0.0644598914691189
total_bonding,columbus,scale(log(total + 1)),total,2,-0.020803679824208252
total_bonding,columbus,scale(log(pop_density)),pop_density,3,-0.0392349266089518
total_bonding,columbus,"scale(logit(black, 0.01))",black,4,-0.054070176182985395
total_bonding,columbus,"scale(logit(hisplat, 0.01))",hisplat,5,-0.24451520526427192
total_bonding,columbus,"scale(logit(asian, 0.01))",asian,6,-0.15796133826366177
total_bonding,columbus,scale(log(median_household_income)),median_household_income,7,0.10124430774646918
total_bonding,columbus,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.014432391262393098
total_bonding,columbus,"scale(logit(some_college, 0.01))",some_college,9,-0.1365819933198931
total_bonding,columbus,"scale(logit(over_65, 0.01))",over_65,10,-0.10628360934683707
total_bonding,columbus,scale(log(unemployment + 1)),unemployment,11,0.07123045960624846
total_bonding,dallas,(Intercept),intercept,1,-0.13830744233343256
total_bonding,dallas,scale(log(total + 1)),total,2,-0.025188974447025038
total_bonding,dallas,scale(log(pop_density)),pop_density,3,-0.0392349266089518
total_bonding,dallas,"scale(logit(black, 0.01))",black,4,-0.054070176182985395
total_bonding,dallas,"scale(logit(hisplat, 0.01))",hisplat,5,-0.24451520526427192
total_bonding,dallas,"scale(logit(asian, 0.01))",asian,6,-0.15796133826366177
total_bonding,dallas,scale(log(median_household_income)),median_household_income,7,0.10124430774646918
total_bonding,dallas,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.014432391262393098
